"","Country","Infant_vaccination_rate","Pecentage_of_malnourished_population","Net_migration_rate","Proportion_of_urban_population","Public_social_welfare_expenditures","National_competitiveness","Average_annual_temperature","Annual_precipitation","Pharmaceutical_sales","Exports_to_GDP_ratio","Imports_to_GDP_ratio","GDP","Number_of_foreign_visitors","Number_of_international_travelers","Aging_index","Total_fertility_rate","Population","Population_density","Median_age","Aged_65_older","Aged_70_older","Gdp_per_capita","Extreme_poverty","Cardiovasc_death_rate","Diabetes_prevalence","Female_smokers","Male_smokers","Handwashing_facilities","Hospital_beds_per_thousand","Life_expectancy","Human_development_index"
"1","Afghanistan",5.818313994555,NA,-0.281262917935199,1.28696744676145,NA,NA,0.519131660317006,0.450733155958987,NA,NA,NA,1.1205412045898,NA,NA,0.119616504337443,3.84876472381315,0.0709291630821279,0.034751859630863,2.0411647557737,0.416849053715105,0.318194275379148,0.0914091904850476,NA,5.03471596869713,2.09867901945694,NA,NA,1.18125967487188,0.204419786756843,8.64272149278667,3.21110867383573
"2","Albania",8.72747099183249,0.520499819655133,-0.810698998754396,3.07387224784177,NA,NA,1.44944968359372,2.08498556065461,NA,0.806091157348706,2.17643342107408,0.800386574707,NA,NA,1.61956949523554,1.36732430977572,0.00524347917928863,0.0669667096275079,4.1701215440538,2.12995169329516,2.05695820650859,0.59808749877694,0.053934928400802,2.56526135932731,2.20591079417372,0.679534403195949,3.74803985854321,NA,1.18154636745455,10.4744505273523,5.06168736739166
"3","Algeria",8.02222081067431,0.404833193065103,-0.0330897550511998,3.64805772408919,NA,NA,0.0624946458384358,0.0523965803324179,NA,0.902100805473068,1.46843700698974,1.07480482889226,NA,NA,0.415809753173017,2.5742834227259,0.0798985443604803,0.0110777858380106,3.19343518242014,1.003118741815,0.917932176617333,0.705023239928716,0.0245158765458191,2.34742981649201,1.47279559968146,0.0669963496108682,2.22539866601003,2.62067149985286,0.776795189676003,10.249150522373,4.86179907645008
"4","Angola",5.20122008604159,2.68924906821819,0.0330897550511998,3.30651636321788,NA,NA,1.03258198919415,0.660932302789622,NA,1.40992848743035,0.104888357642124,0.297286442034029,NA,NA,0.0892377095850767,4.68435180200943,0.0598837973309195,0.0152552630660637,1.84363268263431,0.388423856716322,0.3241440561454,0.294877583364948,NA,2.32787380441988,0.862231004865522,NA,NA,0.834448894473158,NA,8.15212739910388,3.74629345280835
"5","Argentina",7.58143944745045,0.54941647630264,0.0165448775255999,4.55883468641267,NA,3.41151524177769,0.945231518306341,1.76769515753052,NA,0.504416171617842,3.27776117631638,2.83565529324766,2.53164580548806,0.108038666572259,0.882883722490653,1.91594208838944,0.082348709323536,0.0103300289083178,3.50070729619253,1.80855315904756,1.7708927472672,0.959393339081255,0.0294190518549829,1.61096338859946,1.20362196110669,1.55048694813724,2.02774812659466,NA,2.04419786756843,10.2211546637661,5.31960774280016
"6","Armenia",8.11037708331909,NA,-0.281262917935199,3.13327074538461,NA,NA,NA,NA,NA,0.828022295245133,1.62576954345293,0.457363756975429,NA,NA,1.07654853903699,1.4854881390156,0.00539914371476828,0.0657278979762662,3.91771945059791,1.81404439028596,1.80183160725171,0.44527237398196,0.0882571555649487,2.87572042980392,1.55595493517611,0.143563606309003,3.81392337168166,2.94307220908113,1.71712620875748,10.0105191561523,4.86824708583529
"7","Australia",8.3748459012534,0.361458208093842,1.05887216163839,4.26679207349373,NA,0.990439908903201,0.463738678778393,0.957233432505693,0.697298817484562,0.775387564293706,0.340887162336904,0.777518386858229,3.14537812197001,0.324115999716776,1.59488672449924,1.54457005363554,0.0464619136485641,0.00204467778725558,4.1591475399905,2.50400144471096,2.41061317525459,2.262379073298,0.0245158765458191,0.908996160960074,1.10952060778381,1.2442179213447,1.20786440753834,NA,1.56994396229255,11.1236878198075,6.05468081271436
"8","Austria",7.49328317480568,0.361458208093842,1.22432093689439,2.90557650480373,5.85864238846896,0.880391030136178,0.524812991756864,0.931494761465207,0.237619171249015,1.79494179716764,2.04532297402142,2.60697341475994,1.68776387032537,0.432154666289035,2.52903466313452,1.29136184812152,0.0164100600737873,0.0681659303909263,4.87245780410496,3.10125359528766,3.27190343897721,2.30230632791882,0.0343222271641467,1.22432104384101,1.38963626418682,2.7181376127838,2.26200061775362,NA,3.01314765679586,10.8703919562213,5.85479252177278
"9","Azerbaijan",8.3748459012534,0.361458208093842,0.0165448775255999,2.7917293845133,NA,NA,1.72073325984693,1.91033029287988,NA,1.73207253519788,0.760440592905401,2.62984160260871,NA,NA,0.544919630870575,1.75557689156389,0.018474026342228,0.0761862779886559,3.55557731650903,0.971947929197018,0.921264053846434,0.802998991715218,NA,4.72086685214332,1.55595493517611,0.0287127212618007,3.11116589820481,2.60502401833334,1.92154599551432,9.73189370620742,4.88114310460572
"10","Bahamas",7.93406453802954,NA,0.430166815665598,4.11829582963664,NA,NA,NA,NA,NA,0.165701930773011,0.970217308189649,0.0228681878487714,NA,NA,0.681624207256224,1.4854881390156,0.000716515289560391,0.0252213112314909,3.76408339371172,1.45291518296051,1.23755439938038,1.40448127190407,NA,1.98978838829933,2.88212749595912,0.296698119705273,1.49335963113831,NA,1.18563476318969,9.85454222962811,5.20354357386633
"11","Bahrain",8.72747099183249,NA,5.14545691046157,4.43013794173653,NA,NA,0.139902786706498,0.121033036440381,NA,1.01224385357513,1.9404346163793,2.28681878487714,NA,NA,0.275307827443322,1.68805470342682,0.00310035966096722,1.23619801408263,3.55557731650903,0.38309413227905,0.330093836911652,2.19356807980157,NA,1.2791858194086,3.61524269045138,0.555112611061479,2.75246677111767,NA,0.817679147027371,10.3038091034626,5.45501593988961
"12","Bangladesh",8.63931471918772,NA,-0.380532183088798,1.89085217178028,NA,NA,2.54239581933636,3.21212486330256,NA,0.664269798951805,0.471997609389559,1.80658684005294,NA,NA,0.370241561044467,1.73025607101249,0.300071356873442,0.807804812391834,3.01785111740735,0.823361672157925,0.77632739438054,0.178562553234729,0.725669945756245,2.51304453019811,1.83388218801347,0.0957090708726689,3.27221448587659,1.08931507346316,0.327071658810949,9.67723512511776,3.92038970620908
"13","Belarus",8.55115844654295,0.361458208093842,0.148903897730399,3.93515046221289,NA,NA,0.617134627654553,1.01606468059823,NA,2.4036527134485,2.77954147751629,3.0414689838866,NA,NA,1.71640190350871,1.44328677142993,0.0172170817714625,0.0299217713164341,4.42252363750968,2.3901391499147,2.32945816560292,0.869912014745123,NA,3.736884895864,1.13359304700594,1.00494524416302,3.37469995075863,NA,4.49723530865054,9.97052507242812,5.20999158325155
"14","Belgium",8.63931471918772,0.361458208093842,0.694884856075197,4.85582717412685,6.36521673032906,1.37561098458778,0.60648213120482,1.31374466769147,0.493996432639843,4.13231373830694,3.19909490808479,2.8813916689452,2.99194504284952,0.108038666572259,2.14550237938589,1.44328677142993,0.0211167941455106,0.239821164426251,4.58713369845918,2.99934280377498,3.05794932262279,2.16153769367788,0.00980635061832763,0.968929139742563,0.938825129663221,2.40229767890399,2.2986025694972,NA,2.30585519461719,10.8823901813385,5.90637659685448
"15","Bolivia",7.31697062951613,2.24104089018182,-0.132359020204799,3.46986223146068,NA,NA,1.08016314000296,1.0234185866098,NA,1.00493347427632,1.04888357642124,2.46976428766731,NA,NA,0.470871318661682,2.32107521721188,0.0212687763293948,0.00651461673503481,2.78739703207806,1.08274159477182,1.04549547624577,0.34890941825438,0.348125446950631,1.72284334209704,1.50781005673184,NA,NA,0.794360046820138,0.449723530865054,9.53325642371085,4.46847050395213
"16","Brazil",7.31697062951613,0.361458208093842,0.0165448775255999,4.31134094665086,NA,3.08136860547662,1.72712475771677,2.33348630129549,NA,0.502466737138159,3.0417623716216,1.09767301674103,2.45492926592781,2.91704399745099,0.879086373146607,1.46860759198133,0.387292666430397,0.0159896101789131,3.67629136120532,1.38120616325904,1.20423562708937,0.714631053530167,0.16670796051157,1.50073629338828,1.77479529174096,0.966661615813955,1.31034987242038,NA,0.899447061730108,10.1158369099592,4.89403912337614
"17","Bulgaria",8.11037708331909,0.433749849712611,-0.115814142679199,3.74705521999391,NA,2.64117309040853,0.480072506667984,0.831450998432842,NA,2.44312876166207,2.72709729869523,3.11007354743291,3.22209466153025,0.108038666572259,2.77586237049749,1.31668266867292,0.012660374830055,0.0416215172308928,4.90537981629486,3.35950297029365,3.15861961318778,0.940614796889011,0.0735476296374572,3.58137285678593,1.2714624716418,2.88084303326733,3.25025331483044,NA,3.04749018097101,10.0051866116557,5.24223163017761
"18","Cameroon",6.96434553893704,0.910874684396483,-0.0330897550511998,2.85112788205613,NA,NA,2.40249303262987,2.40534009128351,NA,0.493694281979588,0.314665072926373,2.33255516057469,NA,NA,0.123413853681489,3.88252581788169,0.0483677410453219,0.0324932633368208,2.0631127639003,0.511169025574703,0.456705171617491,0.1705029812865,1.16695572358099,2.06321408778704,1.57565056726694,NA,NA,0.0855917239117944,0.531491445567791,7.90416408001422,3.58509321817805
"19","Canada",8.02222081067431,0.361458208093842,1.09196191668959,4.03909783291286,NA,0.440195515068089,0.357923880711041,0.487655892392065,1.47868972732382,1.25592316353544,1.25866029170549,0.983332077497172,1.22746463296391,1.8366573317284,2.1796785234823,1.29136184812152,0.0687678832479472,0.00257787764745496,4.54323768220598,2.74303151038254,2.56959131732884,2.23039986452891,0.0245158765458191,0.890511133593926,1.61285342788297,1.14850885047203,1.21518479788706,NA,1.02209893378421,10.9890410712696,5.9708566907066
"20","Cape_Verde",8.63931471918772,NA,-0.413621938139998,3.30156648842264,NA,NA,0.598670300475015,0.175880918776654,NA,0.175449103171423,2.22887759989514,1.18914576813611,NA,NA,0.322774694243895,1.93282263542371,0.00101303478418734,0.0865763317914153,2.82031904426796,0.720320333037338,0.817975859744302,0.315300844124428,NA,1.53664379636504,0.529593662886945,0.200989048832605,1.20786440753834,NA,0.85856310437874,9.72922743395914,4.21699813792885
"21","Central_African_Republic",4.14334481430432,NA,-1.42285946720159,2.08884716358974,NA,NA,1.67741310761801,2.33639722242507,NA,NA,NA,1.21201395598489,NA,NA,0.121515179009466,4.0091299206387,0.00880004412220368,0.00477581048434869,2.0082427435838,0.590307358128132,0.535718260193315,0.0335054593610336,NA,3.67446419670149,1.33492617504561,NA,NA,0.519590271337303,0.408839573513686,7.10294926940728,2.36641944437292
"22","Chile",8.3748459012534,0.506041491331379,0.992692651535995,4.34104019542227,NA,2.09092869657342,0.84935905025874,0.596738831563648,0.224258101702077,1.18233201192742,0.865328950547525,1.9209277792968,2.37821272636757,0.108038666572259,1.20755709140657,1.39264513032713,0.0348305802621551,0.0155055796471393,3.88479743840801,1.79062590412219,1.65118315825021,1.15362052049883,0.0637412790191296,1.07935862576433,1.85138941653866,3.27325022384528,3.03796199471764,NA,0.862651500113877,10.6890854433385,5.43567191173398
"23","China",8.72747099183249,0.361458208093842,-0.0330897550511998,3.03922312427512,NA,NA,2.5530483157861,3.11514522777501,NA,0.934753833007749,0.157332536463186,0.6403092597656,2.22477964724708,0.540193332861294,1.28350407828749,1.42640622439566,2.62251172465916,0.0942991091677642,4.24693957249689,1.71859387081846,1.41105000652429,0.775702358879933,0.0343222271641467,2.20858128748488,2.13150507294167,0.181847234658071,3.54306892877913,NA,1.7743637490494,10.2531499307454,4.84890305767966
"24","Colombia",8.11037708331909,NA,0.694884856075197,4.02919808332238,NA,2.9713197267096,0.78544407156034,1.18275321686043,NA,0.534145047433,0.288442983515842,2.10387328208697,NA,NA,0.774659266185347,1.53612978011841,0.0927108703996658,0.0282391585839487,3.53362930838243,1.23488100143576,1.02621818656312,0.671636856590757,0.220642888912372,1.04770976276015,1.62817225284251,0.449832633101544,0.988252697076822,2.04625245327115,0.699115670708402,10.3038091034626,4.8166630107536
